schema_name,table_name
dm,lead_score_score_driver
dm,lead_score_score_driver_contact_lead_sf
dm,lead_score_score_driver_output
dm,lead_score_sellthrough
dm,llc_hist_order_line_customer
dm,lz_ad_mkt_block_pricing
dm,lz_ad_pricing_ppc
dm,lz_nrt_subscrptn
dm,market_census_total
dm,market_conversion_metrics
dm,market_demand_final_metrics
dm,market_demand_pre_metrics
dm,market_intelligence
dm,market_intelligence_detail
dm,market_inventory_metrics
dm,market_metrics_sl_block_monthly
dm,market_overview
dm,market_supply_final_metrics
dm,market_supply_pre_metrics
dm,metro_code
dm,mh_preferred_placements_smb_tmp_jene_report
dm,mh_total_search_data
dm,mi_ad_inventory
dm,mi_ad_market_detail
dm,mi_market_county_psp
dm,misc_revenue_by_customer
dm,monitoring_metrics
dm,month_dim
dm,month_dim_bkp
dm,month_dim_old
dm,mrr_customer_all_products
dm,mrr_customer_category_all_products
dm,mrr_customer_classification
dm,mrr_customer_daily_all_products
dm,mrr_customer_monthly
dm,mrr_customer_monthly_reference
dm,mrr_market_classification
dm,mrr_sales_daily
dm,mrr_subscription
dm,mrr_subscription_all_products
dm,mrr_subscription_classification
dm,mrr_subscription_daily_all_products
dm,mrr_subscription_status_all_products
dm,multicall_start
dm,multicall_status
dm,non_ad_inventory_dimension
dm,northstar_professional_daily
dm,order_detail_action_dimension
dm,order_line_accumulation_fact
dm,order_line_ad_market_fact
dm,order_line_ad_market_fact_201805_bkp
dm,order_line_billings_fact
dm,order_line_billings_purchase_fact
dm,order_line_billings_refund_fact
dm,order_line_indicator_dimension
dm,order_line_purchase_fact
dm,order_line_purchase_fact_201805
dm,order_line_purchase_fact_201805_bkp
dm,order_line_purchase_fact_bkp
dm,order_line_purchase_fact_reload_bkp
dm,order_line_purchase_fact_temp
dm,order_line_purchase_fact_temp2
dm,order_line_refund_fact
dm,order_line_refund_fact_reload_bkp
dm,order_ln_accum_fact
dm,order_ln_ad_mkt_fact
dm,order_ln_ind_dim
dm,package_dimension
dm,page_dim
dm,page_identity_taxonomy
dm,page_type_groups
dm,pagetype_mapping
dm,pageweights_ad_weights_simplified
dm,partner_channels_sl_acv_view
dm,persistent_session_starts
dm,persistent_session_starts_new
dm,persistent_session_users
dm,persistent_session_users_new
dm,phone_attribution
dm,phone_attribution_by_device
dm,phone_call_ads_table_daily
dm,phone_call_daily_market_page_weight
dm,phone_call_daily_union
dm,phone_call_raw_daily
dm,phone_call_raw_final_daily
dm,potential_acv
dm,potential_acv_marketid
dm,product_line_dimension
dm,product_ln_dim
dm,professional_ad_impression
dm,professional_address_bridge
dm,professional_address_dimension
dm,professional_claim_date_contacts_leads_sf
dm,professional_dimension
